bench,CRuby 3.5.0dev (ms),CRuby 3.5.0dev RSD,CRuby 3.5.0dev (ms),CRuby 3.5.0dev RSD,YJIT 3.5.0dev (ms),YJIT 3.5.0dev RSD,YJIT 3.5.0dev (ms),YJIT 3.5.0dev RSD,CRuby 3.5.0dev spd,CRuby 3.5.0dev spd RSD,YJIT 3.5.0dev spd,YJIT 3.5.0dev spd RSD,YJIT 3.5.0dev spd,YJIT 3.5.0dev spd RSD,% in YJIT
railsbench,3206.2172079999073,1.282110766029881,3206.050765299551,1.3077658608560998,1516.5420506001283,0.22054034543706177,1534.797099599973,0.28968501542800135,1.0000519151793095,1.8314091741580916,2.1141630769362036,1.3009404522633718,2.089016983961965,1.3144296955460377,99.80228093630134
rubocop,203.04140909214482,0.5477051226145564,202.1352860070326,0.5205565008772751,103.84669223633203,0.8537543866136662,103.66664218181127,0.9512957668132466,1.0044827555990432,0.7556189330236629,1.9552034322871605,1.0143359670248826,1.958599264130205,1.0976996571444437,99.7875218253915
ruby-lsp,200.25914179312733,0.15930835687746858,200.63939237929372,0.14271233032852257,101.38130167623055,0.11042322831211249,102.63167029871921,0.12186623817123808,0.9981048059323886,0.213883056362107,1.9753064764612238,0.1938361213031973,1.9512411832551697,0.20057550343201888,99.81391480598602
sequel,68.1932425792978,0.4660154026782237,67.89032089474205,0.4799459889682661,46.602604170044344,0.253600409873245,45.76965672443597,0.6120847678848488,1.0044619274229887,0.6689682412940647,1.463292530401803,0.5305502082001522,1.4899225263992444,0.7692971588469544,99.22344725187145
shipit,2209.6554433000165,1.5752474592584709,2218.5986298998614,1.2577432766605328,988.2697506003751,3.9361831150722035,989.6973540000545,3.837769109048644,0.9959689930033678,2.0157685154513754,2.2358829074325586,4.239686553659337,2.2326577254847293,4.1484787925537585,99.80932062885407
binarytrees,343.6516308313266,2.1686641358289482,343.4565371807618,2.1639253186943845,167.68984224804026,4.479216287728384,167.7377854650768,4.580028236191933,1.0005680300982658,3.063605215904509,2.049328845589887,4.976593482120271,2.048743101493225,5.067520377694214,99.99589352291211
blurhash,328.09280441372607,0.11497624377225754,328.9555052987944,0.11555691408332476,154.2737307103317,0.09573843941562658,154.25614757249573,0.10842409597630606,0.9973774541809698,0.16301207631472733,2.1266926190419384,0.14961746359872963,2.126935033558597,0.15803582258544047,99.99479423783399
erubi,208.13785615711953,1.023252835435382,208.22598689998944,0.14375504619958124,158.82790674097268,0.17761613280545666,160.16770207961204,0.17661676823375533,0.9995767543514527,1.0333014461106655,1.3104614952620692,1.0385537327742433,1.2994995461298666,1.038383285712884,99.98159900084494
etanni,405.63989381156506,0.22430217526968818,404.1325124571423,0.761236185170242,356.39732222867417,0.07525207503781543,353.8386653715861,0.08145347053376277,1.0037299185488884,0.7935943519476792,1.1381676250398298,0.23658896979405214,1.1463978742559962,0.23863389049485084,99.98204397381267
fannkuchredux,489.91372907018734,0.5869374191886078,490.8413739123493,0.9936448044219182,137.23639542538567,0.2917740920996135,137.22504454255343,0.3020104597920041,0.9981100924016083,1.15404745630258,3.5698527897910983,0.655459880438412,3.5701480783142707,0.6600801859377096,61.84671457710225
fluentd,442.6722516507883,4.612625448753282,437.2843323594111,6.0300672881335675,373.95781232148045,0.18304607083400395,368.26981048272563,0.14446731131146348,1.0123213179450226,7.591971089901814,1.1837491745465558,4.616255993176091,1.2020324203891068,4.61488725046712,99.96990980459724
graphql,66.06224878844321,0.1697441342088764,65.56976607067799,0.17045409276255033,30.77017359046078,1.313244744594556,30.82466754397844,1.3765780441722124,1.0075108201123424,0.24055699706685973,2.1469572992244514,1.3241694870006415,2.1431617614104126,1.3870040312830079,99.98334082357536
graphql-native,363.18389546155953,0.08920398450985745,362.0553420512643,0.1563789773992097,265.73129679372727,0.06568727855737395,267.7120037742204,0.06227385851722817,1.0031170743232272,0.18003259545109443,1.366733613404519,0.11077982405072201,1.3566216319827669,0.10879055247152043,99.97460809148191
lee,1106.7334739130313,0.7545986464808828,1101.0222110432908,0.4507865552831901,745.1587582001594,1.0218993162472347,732.7943785999651,0.9485089563558688,1.0051872367445964,0.8789923979733072,1.4852317868291742,1.270313870591574,1.5102919812615003,1.2120595519850004,99.97201211493014
matmul,514.2483080739179,0.2647167214726753,514.5320712778172,0.21190502248107684,218.21819693183318,0.32733359832822445,218.01336085228616,0.30287221551567367,0.9994485023971498,0.33908506481404876,2.3565784856821925,0.4209777039484933,2.3587926265782593,0.40225181361755796,99.82008512377053
nbody,111.62977267430175,0.2659670912130046,111.23308333201594,0.24806067086867922,39.8367264060018,0.272005601724013,39.85333187319496,0.2794560829180843,1.00356628918666,0.36369298871455563,2.802182376548983,0.3804281022447594,2.8010148067289466,0.3857903522487647,99.78668012058885
nqueens,225.0951073255759,0.19403282452323195,224.63415441858908,0.223806550387065,49.487570227104165,0.1605654538993005,49.52014115047242,0.2704696624245546,1.0020520161245288,0.2962061933664136,4.5485180681247535,0.2518531357326164,4.545526367576367,0.33287020786564225,96.9980373149897
optcarrot,6090.766304500357,0.14568705028237458,6052.457010700073,0.1543682530807258,1491.6790259001573,1.332476670534627,1490.5499486003464,1.2815627985026894,1.0063295441392741,0.21225992127383383,4.083161456818681,1.3404173954925471,4.086254412486947,1.2898170114888485,99.51664385138739
protoboeuf,158.45010101083972,0.10559577825706486,159.9012888032742,0.43183693316083965,37.29364047675231,0.10295937700087515,37.278297735730554,0.09920225295480041,0.9909244771990557,0.4445600130775087,4.248716375908986,0.14748254709667702,4.2504650328753675,0.14488462781476655,99.98983406737935
