bench,CRuby 3.4.0dev (ms),CRuby 3.4.0dev RSD,YJIT 3.3.1 (ms),YJIT 3.3.1 RSD,YJIT 3.4.0dev (ms),YJIT 3.4.0dev RSD,YJIT 3.3.1 spd,YJIT 3.3.1 spd RSD,YJIT 3.4.0dev spd,YJIT 3.4.0dev spd RSD,% in YJIT
railsbench,3437.909628264606,0.19169835221883472,2059.417971596122,0.1465368355942592,1923.7700574100018,0.3377190746701666,1.669359826747605,0.24129090830239622,1.7870688937185721,0.38833288766146246,99.80785971709885
rubocop,213.33036868600175,1.0403828271190136,127.64359778011908,2.286189448246445,111.05887418498799,2.4602748108103203,1.67129705207376,2.5117839517437677,1.9208763842740086,2.6712073247263888,99.86138443773005
ruby-lsp,157.62405140946308,1.7422354489929455,123.72202215948074,1.4160006649417862,112.02332376709012,1.5462141189556824,1.2740177428257824,2.2450929252133935,1.4070645835967368,2.3294124712866005,97.56703501108923
sequel,93.06846682827313,0.9154955841663072,75.45180380171568,0.4281144999697345,69.96727188457879,0.4260913874287552,1.2334823309573,1.010650379563746,1.3301714404672391,1.009795046070721,98.82395771574026
binarytrees,499.3494075960388,0.9825031909195803,288.89042406560895,0.16204878408933737,224.33621047305004,2.0522452915722424,1.7285079947220168,0.9957772484807985,2.2258974890548338,2.275307288466241,99.99154775304355
blurhash,441.56102293395793,0.027031843760553807,222.35882115364075,0.26554839495975463,193.59997911699887,0.2607093930195632,1.9858039390704338,0.2669207197704907,2.2807906537381806,0.26210705481868296,99.98826442539597
erubi,321.65810698643327,0.14596005413722557,281.9890038484765,0.14949237025503798,260.77672336601984,0.1667637765573474,1.1406760639477718,0.2089313431924736,1.2334617247834723,0.22161790219973365,99.97471456992197
etanni,903.9576506086936,0.12816080806590224,421.3143788398273,0.19803401398152862,816.6240466137727,0.11323789112200347,2.145565629869838,0.2358869716998828,1.106944688142677,0.1710205037703484,99.94673975547093
fannkuchredux,2442.1384600922465,0.11589289077089399,943.7584165217621,0.0774283741253647,791.4169683353975,0.06413991355535745,2.5876733042474895,0.13937831700423065,3.085779756818764,0.13245788252166457,74.28186646116087
fluentd,2635.674011707306,0.6341301749591938,2754.375882446766,0.9560595958391948,2373.5053250566125,0.9263513051624823,0.9569042586032177,1.1472449736608052,1.1104563296669412,1.1226075981259045,99.97568280771506
graphql,4306.335630081594,0.04713180828300974,4009.2981677502394,0.05730236217135828,3582.16753937304,0.04600773337761383,1.0740871469028288,0.07419547198073409,1.2021591906991875,0.06586439768624615,99.440856203136
graphql-native,676.4935468988759,0.12187441352716781,659.9235122816431,0.0914599338718196,606.6924375947565,0.12888999883222818,1.025109022953195,0.1523754972967397,1.1150518862256587,0.17738659608764945,99.94960291275048
lee,1522.1308520063758,0.5802555253754188,1190.1151149068028,1.5090042010161842,1042.1405327751447,0.8841972288074301,1.2789778341110918,1.6167220396262294,1.4605811828017587,1.0575921776183115,99.9554582669794
