bench,No JIT (ms),No JIT RSD,YJIT 3.3.1 (ms),YJIT 3.3.1 RSD,YJIT 3.4.0dev (ms),YJIT 3.4.0dev RSD,YJIT 3.3.1 spd,YJIT 3.3.1 spd RSD,YJIT 3.4.0dev spd,YJIT 3.4.0dev spd RSD,% in YJIT
blurhash,1054.8623190506507,0.39753897227671015,434.47658413295017,0.35703434063972456,409.36125174630433,0.3476845848035276,2.4278922215238694,0.5343320642398937,2.5768494564414373,0.5281304810260665,99.98135946107357
erubi,658.0413410233127,0.14517857356261982,628.1819853343462,0.32748299204633313,576.4008247575094,0.15837755737693987,1.047532970359018,0.35822050234638403,1.1416384445670238,0.21484940982549353,99.93753865229503
etanni,2575.744032487273,0.033874058875459405,914.1133158751156,0.3220929502055749,2392.23488047719,0.041024062214416214,2.817751352874031,0.3238692952980091,1.0767103404049847,0.053201743817946255,99.91819165562082
fannkuchredux,5781.041685119271,1.2918805264059219,1681.8157825618982,1.3257890133371177,1361.3133881241083,0.32580797158116936,3.4373810408135492,1.8511271707779153,4.246664827917071,1.3323310883007564,74.28186557073154
fluentd,5314.871368929744,0.7541244799910178,5731.531425192952,0.4673054784320565,4779.175386950374,0.595832216768309,0.9273038869800524,0.8871742452834934,1.1120896260560134,0.9611034085158373,99.97567049051476
graphql,11411.475417390466,0.11682543447286892,9769.72725018859,0.02893165955203038,9351.479106023908,0.08361471039818065,1.1680444218307309,0.12035457226133614,1.220285613431952,0.14366489458022166,99.44085443776574
graphql-native,1668.7043990939856,0.18800756825073378,1574.0926016122103,0.041678187803450575,1414.8350075508158,0.058501655036646776,1.0601056109309404,0.19257184908011352,1.1794339199894668,0.19689918578191515,99.89841603319512
lee,3612.511105835438,0.6856416854379707,2822.0992490649223,1.120247880699598,2586.562567204237,0.8193778562384064,1.280079397289947,1.3134153322624802,1.396645552533503,1.0684028229577398,99.95547582338433
matmul,4469.850208610296,4.06543532901601,2181.2535032629967,0.3001681894929429,2136.563242971897,0.08780276425199948,2.049211704152555,4.076501607554569,2.0920748418347146,4.066383373444,99.64085756148958
nbody,291.745887568561,1.4908661193594999,126.10715240436166,0.5718472933610117,126.95283130927233,0.5067965190475897,2.313476135224114,1.5967752229973917,2.29806523068267,1.574650595393406,99.55569001122569
nqueens,585.9691479376385,2.0055270436815973,598.0485326996663,3.071469569642085,104.04310195513492,0.249110019564413,0.9798019991663552,3.668250814785649,5.631984599904738,2.0209390205509985,89.0433401973093
optcarrot,18071.408842876554,0.4538685359283407,8335.338526591659,0.49312681384095114,7412.687840312719,0.38077945209268865,2.1680473786666945,0.6702019862956715,2.4379023145421126,0.59244378555416,99.49147765958995
protoboeuf,440.73572934701525,1.3453419695058322,209.94898043853,0.28059674819039676,144.41918695184785,0.14593212510063697,2.099251582105474,1.3742923815581807,3.05178099011155,1.3532336088237757,99.97545741575455
rack,233.42308420844438,0.4067292903116592,175.7226597216929,0.47369832048091576,155.787249752244,0.9522024358517719,1.3283607508453183,0.6243547184284478,1.4983452405743627,1.0354314049899558,99.5962433695977
ruby-json,11407.439188286662,0.12205487926433695,9604.255336150527,0.129283828952088,9985.09119413793,0.043261918103193665,1.1877484291102642,0.1777967996920772,1.142447171136881,0.12949512388580237,99.98259907158307
rubykon,35383.04821178317,0.37327791093838786,20871.220181137323,0.8386943810221407,19362.84273825586,0.5663716594852141,1.6953032886769661,0.9180112545893099,1.8273684649555937,0.678316486208733,99.94793343147167
sudoku,4928.518577665091,0.16489145250518045,1622.6825520396233,0.02984641050033174,1370.6651314472158,0.06986884051612004,3.037266020682981,0.16757087852315658,3.5957131064254315,0.1790833492660197,99.71182753114931
tinygql,2584.560439735651,0.1418526618328844,1405.4394233971834,0.11797447956271118,1302.5130778551102,0.042439113597325086,1.8389696465809489,0.18449974389458434,1.9842875159393634,0.1480650398710017,99.9794695153456
30k_ifelse,7310.685440897942,0.07140322837135965,1554.6811185777187,0.07266772465146046,1516.1903645843267,0.07800066879337755,4.702369735850419,0.10187747164055953,4.821746405770236,0.10574746027241846,99.93971032827803
30k_methods,18957.01931118965,0.04489542812628379,3369.4417405873537,0.05967797527200785,3332.9557087272406,0.06730557892963919,5.626160287278066,0.07467971745533518,5.687750143679164,0.0809051322333522,99.9760676063583
cfunc_itself,279.5039672708633,0.32484238417495814,48.94809162796442,14.278756097709376,43.23283431379224,13.81942124140675,5.710211736042035,14.282450709609652,6.465085431183384,13.823238622768566,90.00538014626973
fib,495.7974119221463,0.4071532560457819,115.27209988687618,0.04973021192632405,104.2354340068728,3.233064123248758,4.301105058454767,0.4101790680750532,4.756515062713278,3.2586005276724146,99.98715506612514
getivar,246.6709635420037,0.12280210348713338,47.28052181097492,76.54960791824594,44.25192411456789,81.22091890497529,5.2171793815681955,76.54970641873034,5.574242668033473,81.2210117403446,53.9639586721786
keyword_args,663.5640150763923,0.10381657871947932,78.09146908375452,8.763775378318178,66.15979509821179,16.825064179577375,8.497266383408766,8.764390267647428,10.02971690119892,16.82538446897766,92.20047544323141
respond_to,743.7247006643203,0.5034471035590788,40.439731303987834,12.417282227847592,35.09072445466847,15.233989422424713,18.39094070812929,12.427483933286803,21.194338738292284,15.242306016762358,89.96392643119361
ruby-xor,1810.8275644481182,1.0737473579010557,536.8164901662132,0.037918261501741594,316.3317770642393,0.07224288799138788,3.3732711226650958,1.0744166711080076,5.72445671204377,1.076174903751632,99.99228774916092
setivar,189.74999520902665,0.07177583106447324,34.59935596379993,69.10226300983706,31.293938264151194,74.75002233312416,5.484205989485911,69.10230028624677,6.0634744533383,74.75005679310543,68.73874322127101
setivar_object,307.3234089057554,0.06950089168012796,130.52312144334766,41.903723376430825,128.29330224721204,45.037887248757734,2.3545514810503994,41.90378101296325,2.39547508344251,45.03794087439788,59.18878920696539
setivar_young,307.8519544479522,0.23023526875609365,130.6830948749602,42.20501046795623,127.92133054391468,44.32712212992306,2.355713680813193,42.205638448900096,2.406572485909755,44.327720047393534,59.95339951836351
str_concat,198.24915482325756,11.129087578129152,81.9713623276059,1.1881877147591697,74.53582677229934,0.2491848239906107,2.4185172625402642,11.192335786920136,2.659783400926,11.131876903657163,99.75658171860391
throw,66.23967662958205,0.3394424790066043,50.09430268042561,0.24376693248746162,44.870890852216526,0.449150619051081,1.3222996046507551,0.4179037137050779,1.4762282489051575,0.5629897646921463,99.96516189010768
