bench,No JIT (ms),No JIT RSD,YJIT 3.3.1 (ms),YJIT 3.3.1 RSD,YJIT 3.4.0dev (ms),YJIT 3.4.0dev RSD,YJIT 3.3.1 spd,YJIT 3.3.1 spd RSD,YJIT 3.4.0dev spd,YJIT 3.4.0dev spd RSD,% in YJIT
railsbench,3421.5926684439182,0.13625562009465253,2057.1149883791804,0.2763042350149438,1953.743338957429,0.27718942264755303,1.663296747033,0.30807405651007286,1.75130100265359,0.3088682081973832,99.80784185405088
rubocop,209.57302784134868,2.4256437501746,127.75098928578304,2.2733565118313397,111.75441019880918,2.4498425517892155,1.6404806648700554,3.3244394162996946,1.8752998424717364,3.4475318898188876,99.86138434434494
ruby-lsp,153.97778211815938,1.1017547640729708,123.88020024859699,1.3342850278369374,110.66717771240153,1.3826364660179369,1.2429571619125894,1.7303699302944744,1.3913590759340781,1.7679217056532952,97.5678299302884
sequel,92.2769006766096,0.4379497241376772,75.47955199615242,0.5034679626530809,70.01459338926757,0.43979780371134697,1.222541711446743,0.6672930018292651,1.3179666725130847,0.6206626048197137,98.81998094487246
binarytrees,485.53775627022753,1.1278145468287653,288.74522300952293,0.1526106676214285,231.04021598895392,2.1669781822295295,1.681543857971338,1.1380929961608726,2.1015291826659355,2.442899935383635,99.99154131153307
blurhash,427.4918297458379,0.3383650108819106,221.72556753965125,0.16889995643834146,196.2120179998708,0.45690299097738746,1.928022259631332,0.3781773074550999,2.1787239849198197,0.5685518654909137,99.98825618132511
erubi,322.0032067925093,0.14162240157292794,283.2984371731679,0.15092104494194672,261.07692395647365,0.16494714125315307,1.1366218959961394,0.2069639254402872,1.233365254625848,0.21740391908811416,99.97470168985106
etanni,875.0026755034924,0.0674425264160893,421.34840185603787,0.1868049940236293,808.5514214555068,0.08076548590651705,2.0766725865082423,0.19860664682118037,1.0821855633230648,0.10522147158779288,99.94826360409739
fannkuchredux,2356.933262757957,0.04817568091179825,943.9225136967642,0.07673071326148771,798.8798553671907,0.03309723571726839,2.496956295201921,0.09060076483635252,2.9502975283744455,0.05844932201009546,74.28186568945546
fluentd,2613.2771341130137,1.0048501758450443,2754.8264261335135,1.0457550846013652,2406.9199714809656,0.8783981532144634,0.9486177093853537,1.4502853418777373,1.0857349496772333,1.334656207218322,99.97567548806697
graphql,4317.126848176122,0.03759056973488079,4026.5366161242127,0.09498561640545684,3627.038993872702,0.06684507298573608,1.072168779215429,0.10215340550817446,1.190262044458086,0.07668973018247828,99.44085457532705
graphql-native,684.8072858856004,0.19334204114050418,659.5194710729023,0.09357369132281954,616.2526757480242,0.1299310831092962,1.0383427873199256,0.21479567169790625,1.1112443204475546,0.23294469564755332,99.94832476832957
lee,1506.1521405354142,0.7060681169586324,1189.638635609299,1.545545589010258,1044.6634585724066,0.865331683499702,1.266058528574945,1.6991890281821427,1.4417582314917559,1.1168397862961086,99.95544448804522
matmul,1959.9159820005298,0.07432972511544855,1246.1044157544773,0.11263636491640952,1164.2437789123505,0.1076202632799399,1.5728344729553518,0.13495131987987635,1.6834240538794247,0.13079384199640945,99.64085776527683
nbody,136.65827183673778,0.024554631707854824,64.66923738595935,0.07015631929692535,62.621665137535985,0.38877492381433393,2.1131882384994434,0.07432926123405593,2.182284222826001,0.38954957492615694,99.7892574650925
nqueens,250.5026269026778,0.35814096137960466,249.56485884146647,0.2581276167415864,64.84950668691249,0.19334102578027976,1.0037576126124674,0.4414689283999485,3.862830107745949,0.4069959465003039,94.61080356086035
optcarrot,7159.8724929615855,0.41223435747903636,2349.6910443529487,0.42853786045744174,2058.419573493302,0.7413176265313667,3.0471548632612895,0.5946274996429242,3.478334827923693,0.8482269677935574,99.49147773566166
protoboeuf,164.80529326622542,0.3445640751187377,54.503649383507394,0.37450669310479534,45.83630080606719,0.4575953000679967,3.0237478614798023,0.508900447084418,3.5955190617042705,0.5728157299749642,99.98814789118632
rack,63.97973298864167,0.8089954304847498,39.066575305403695,1.0875670562363764,35.547028867442975,1.020495534585577,1.637710305765962,1.355461437428547,1.7998616207060785,1.3022613956707418,99.87213420713209
