bench,CRuby 3.5.0dev (ms),CRuby 3.5.0dev RSD,CRuby 3.5.0dev (ms),CRuby 3.5.0dev RSD,YJIT 3.5.0dev (ms),YJIT 3.5.0dev RSD,YJIT 3.5.0dev (ms),YJIT 3.5.0dev RSD,CRuby 3.5.0dev spd,CRuby 3.5.0dev spd RSD,YJIT 3.5.0dev spd,YJIT 3.5.0dev spd RSD,YJIT 3.5.0dev spd,YJIT 3.5.0dev spd RSD,% in YJIT
binarytrees,305.9485336021504,1.7259018175962895,306.8583463763223,1.6846747953869192,144.10015352828313,3.5380732828275834,144.08177101257212,3.5588594530784676,0.9970350724204968,2.4118180383673504,2.123165910035624,3.9365847683798876,2.123436791844086,3.9552771951846997,99.99589352291211
blurhash,279.45103934952675,0.07864774410897782,279.32464100972845,0.0693354107659483,146.74384147096603,0.07300255275333531,146.81320267097158,0.08997804127350888,1.000452514104525,0.10484687329393295,1.9043459442542772,0.10730722418334546,1.903446245061588,0.11950529513309661,99.99479423783399
erubi,163.2627814860305,0.083504703116538,160.55056614283416,0.1383887902652639,122.89477643588002,0.23992050579454902,123.66973742487792,0.2041520103881532,1.0168932156912072,0.16163072948441565,1.3284761665294404,0.25403717157788813,1.3201514362816773,0.22056989547104056,99.98542804518348
etanni,301.5355262631362,1.3161724754384583,304.37487304255984,1.1899660163655335,261.51063121540994,0.08184754356255299,261.5536148000011,0.08999036325361615,0.9906715467310384,1.7743531512093798,1.153052649759226,1.318714906827485,1.1528631576883674,1.3192453337345245,99.98441227709546
fannkuchredux,425.4832058030925,0.48031560717056304,425.7916907576159,0.46095272006128235,120.02396158265948,0.26267101106901786,119.71214811039074,0.25320177558647283,0.999275502643148,0.6657180278642915,3.5449855194961706,0.5474478445912877,3.5542191207757763,0.5429679747938816,61.84671457710225
fluentd,363.618661564091,1.6794902178602193,349.62247414821627,1.7959430413243986,283.2156394037716,0.14153510147112708,281.43593653843567,0.16443915965503794,1.0400322875409356,2.4588816156069204,1.2838932988643728,1.685443436261392,1.2920121930286312,1.6875211492352389,99.9713437145004
graphql,55.54652832893948,0.3369996988523448,55.422822315310455,0.44692282668589733,25.690166395171254,1.254340411451733,25.28803311375615,1.3500973887699674,1.0022320410340209,0.5597399485828073,2.1621708273318174,1.2988220296974768,2.1965539225240636,1.3915213818659258,99.98705286876427
graphql-native,252.52727761400357,0.057991653226490324,260.0076842613202,0.06230748888480615,198.9511143959828,0.054070674411207185,195.83840125960268,0.05446525687156581,0.9712300554940582,0.08511906375819549,1.2692931043923952,0.0792885217116846,1.289467622232344,0.07955813000584636,99.98044756860311
lee,979.1342322693638,0.4095250194220679,985.1838058076772,0.558230507748076,662.7217729000108,0.37645189308081234,663.1947758999559,0.49885927092236737,0.9938594468335238,0.6923380975457871,1.4774438871757005,0.5562614217584863,1.476390146379965,0.645423360065191,99.97201700947726
matmul,467.23206093338376,0.2108186468598078,467.14454755003015,0.20807914201807517,206.50565533333065,0.21814198180862995,206.42519114585411,0.17314435293437053,1.0001873368399836,0.2962118012618313,2.262563028500126,0.3033651695419186,2.2634449717101193,0.27280665097622203,99.82008512377053
nbody,90.4523962049028,0.24855370862430695,91.56694440867022,0.1537434471405875,44.53388400003761,0.09239695058765166,44.52780658974339,0.0917681169363454,0.9878280507123497,0.2922601471455995,2.031091566251585,0.26517191131187673,2.0313687812715604,0.2649534550764335,99.82468284274704
nqueens,184.73349258855234,0.07062798309336771,184.77902115190645,0.07344249317243146,53.04251061099782,0.10101441410248914,53.040505473481275,0.13068653131351618,0.9997536053439926,0.10189264840615184,3.4827441322177863,0.12325673958168044,3.4828757934992485,0.1485506023636245,96.9980373149897
