bench,CRuby 3.3.4 (ms),CRuby 3.3.4 RSD,CRuby 3.4.0dev (ms),CRuby 3.4.0dev RSD,YJIT 3.3.4 (ms),YJIT 3.3.4 RSD,YJIT 3.4.0dev (ms),YJIT 3.4.0dev RSD,CRuby 3.4.0dev spd,CRuby 3.4.0dev spd RSD,YJIT 3.3.4 spd,YJIT 3.3.4 spd RSD,YJIT 3.4.0dev spd,YJIT 3.4.0dev spd RSD,% in YJIT
tinygql,776.9712680294695,0.03304949908902262,772.4705278823795,0.02089501269344553,437.3140487891521,0.033972668442633185,436.8616171580614,0.012649141425091943,1.0058264231250713,0.03910077934638332,1.7766894756314604,0.047396324658652504,1.7785294874013906,0.03538742953122315,99.99302072244771
30k_ifelse,999.7105152398944,0.1061315678069401,1005.8255242399173,0.058670300960192205,183.21431658882702,0.0303203727003511,217.18059469141602,0.0427924055781258,0.9939204078116393,0.12126876720705398,5.4565087153285265,0.11037769106956043,4.603130020250412,0.11443382218698252,99.94037828006348
30k_methods,915.9112038213217,0.11721190460087674,933.7012723928767,0.05066814803074437,127.13986208741095,0.08458220203681961,133.0249924127244,0.11489962654441581,0.9809467234354701,0.12769452535261822,7.203965686163921,0.1445433481055507,6.88525657629514,0.16413578147439775,99.9545978698984
cfunc_itself,94.62828632904667,0.07763639350117217,95.77823180581359,0.11007282302771837,30.349930439168137,0.2691352544771307,28.072807555340436,0.12614827801451592,0.9879936656264611,0.13469757223187157,3.1179078488734864,0.28010925511010654,3.370816621832505,0.14812426419022795,94.77344545170745
fib,240.1446977583304,0.08198988498347984,238.77744573555034,0.033235558489674806,40.200287536581826,0.04707833664187145,38.344483357435266,0.04916974335916406,1.0057260517992739,0.088470015190034,5.973705972620254,0.09454475670585666,6.262822620917245,0.09560337285687315,99.99514181989001
getivar,105.14955788968429,0.09964548955072863,103.41884618529465,0.27858348937037675,23.360162661913634,0.03035697645688811,14.024764726367025,0.03843220468519831,1.0167349740229041,0.2958681870995582,4.501233977326705,0.104167027448269,7.497420451695679,0.1068000840110594,77.11705359703903
keyword_args,264.8402576972689,0.01807784318908598,266.932093185241,0.036272152662262594,38.82679163675031,0.034143036090859016,27.953472494560238,0.20823708616847839,0.9921634170585834,0.04052749033833289,6.8210698472080935,0.03863360360969299,9.474324084380106,0.20902031592720233,95.97763091910674
object-new,122.17222199998994,0.11100497012753634,122.45489258749647,0.11343919680485928,65.53196258224897,0.10040101129827128,67.41428960746514,0.08597547668668044,0.997691635005073,0.15871532618101766,1.8643150179830486,0.14967453511780432,1.8122600224872973,0.14040614653396472,87.56898245880215
respond_to,275.5502699903725,0.13429844806662042,275.47385427882233,0.35158509381684927,11.863834465298448,0.19649951487430992,10.843565771096415,0.28263692720678557,1.0002773973295949,0.37636172938717544,23.226071705261333,0.2380086815621268,25.411407631690054,0.3129212453222001,95.47656447843778
ruby-xor,145.1729447672904,0.053361018826207654,147.25303780903857,0.08244003057165648,43.994541153477,0.10825992859165862,25.654088381250297,0.20068882874386576,0.9858740228881003,0.09820263219907369,3.2997944963409855,0.12069635648536334,5.658861956419874,0.2076617545740081,99.98966269158441
setivar,65.71639294248897,1.1377793734576964,65.89898079385233,1.2977717636039503,11.424703755321321,0.14335428481767115,5.0577185801752895,0.609089721652361,0.9972292765508082,1.725906559774745,5.752131026756824,1.1467747615122048,12.993287764186235,1.2905549936706837,84.09287353688049
setivar_object,95.87893264610952,0.044433875386487375,89.78662397874353,5.327506423121183,54.459404507319775,0.39980071112706905,47.66012136700938,0.04027474437018977,1.0678531878958752,5.327691719467196,1.7605578598132234,0.40226232473296825,2.011722377032751,0.05997019523018097,82.38913636634312
setivar_young,96.45612088924213,0.18555592121384115,88.93077325299748,4.027500144839413,56.19896548706875,0.7318477553930848,47.657186149904135,0.6073247925034575,1.0846202879045697,4.031772366661963,1.7163326771813345,0.7550047264563405,2.0239575325711114,0.6350388991919196,82.53304473905746
str_concat,82.75380147765316,0.5675693093937202,78.38631552122072,0.8445917153559346,27.41971942529295,0.22855050648484784,28.658339691768028,0.2036330462126683,1.055717454346353,1.017580506207516,3.018039688667202,0.6118580349886278,2.8875992945754563,0.6029936471269951,99.89564156268668
throw,27.165662814558427,0.5131450456516837,25.91348860624596,0.20298490087787777,17.052314977809147,0.29134332295590315,17.345464749395692,0.2975463196937008,1.0483213289935287,0.5518339495366975,1.5930777052799097,0.590083697205622,1.566153643447626,0.5931708440577087,99.98304727311772
